Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 50874 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  3.57 MBytes  29918 Kbits/sec   37    210 KBytes       
[  4]   1.00-2.00   sec  2.39 MBytes  20040 Kbits/sec    0    253 KBytes       
[  4]   2.00-3.00   sec  2.33 MBytes  19541 Kbits/sec    1    236 KBytes       
[  4]   3.00-4.00   sec  2.33 MBytes  19546 Kbits/sec    5    192 KBytes       
[  4]   4.00-5.00   sec  2.33 MBytes  19542 Kbits/sec    0    245 KBytes       
[  4]   5.00-6.00   sec  2.39 MBytes  20042 Kbits/sec    2    227 KBytes       
[  4]   6.00-7.00   sec  2.27 MBytes  19043 Kbits/sec    4    184 KBytes       
[  4]   7.00-8.00   sec  2.33 MBytes  19542 Kbits/sec    0    227 KBytes       
[  4]   8.00-9.00   sec  2.33 MBytes  19540 Kbits/sec    5    218 KBytes       
[  4]   9.00-10.00  sec  2.39 MBytes  20045 Kbits/sec    0    253 KBytes       
[  4]  10.00-11.00  sec  2.39 MBytes  20042 Kbits/sec    2    227 KBytes       
[  4]  11.00-12.00  sec  2.27 MBytes  19044 Kbits/sec    5    192 KBytes       
[  4]  12.00-13.00  sec  2.39 MBytes  20043 Kbits/sec    0    245 KBytes       
[  4]  13.00-14.00  sec  2.33 MBytes  19543 Kbits/sec    5    227 KBytes       
[  4]  14.00-15.00  sec  2.33 MBytes  19544 Kbits/sec    5    184 KBytes       
[  4]  15.00-16.00  sec  2.33 MBytes  19540 Kbits/sec    0    236 KBytes       
[  4]  16.00-17.00  sec  2.33 MBytes  19544 Kbits/sec    5    227 KBytes       
[  4]  17.00-18.00  sec  2.27 MBytes  19040 Kbits/sec    2    184 KBytes       
[  4]  18.00-19.00  sec  2.39 MBytes  20042 Kbits/sec    0    236 KBytes       
[  4]  19.00-20.00  sec  2.39 MBytes  20042 Kbits/sec    2    210 KBytes       
[  4]  20.00-21.00  sec  2.21 MBytes  18543 Kbits/sec    1    210 KBytes       
[  4]  21.00-22.00  sec  2.51 MBytes  21044 Kbits/sec    0    218 KBytes       
[  4]  22.00-23.00  sec  2.33 MBytes  19542 Kbits/sec    5    201 KBytes       
[  4]  23.00-24.00  sec  2.33 MBytes  19542 Kbits/sec    0    245 KBytes       
[  4]  24.00-25.00  sec  2.33 MBytes  19544 Kbits/sec    5    210 KBytes       
[  4]  25.00-26.00  sec  2.33 MBytes  19543 Kbits/sec    2    184 KBytes       
[  4]  26.00-27.00  sec  2.33 MBytes  19541 Kbits/sec    0    236 KBytes       
[  4]  27.00-28.00  sec  2.33 MBytes  19539 Kbits/sec    1    210 KBytes       
[  4]  28.00-29.00  sec  2.39 MBytes  20048 Kbits/sec    2    166 KBytes       
[  4]  29.00-30.00  sec  2.27 MBytes  19041 Kbits/sec    0    218 KBytes       
[  4]  30.00-31.00  sec  2.39 MBytes  20041 Kbits/sec    2    201 KBytes       
[  4]  31.00-32.00  sec  2.33 MBytes  19545 Kbits/sec    0    245 KBytes       
[  4]  32.00-33.00  sec  2.33 MBytes  19543 Kbits/sec    2    210 KBytes       
[  4]  33.00-34.00  sec  2.33 MBytes  19542 Kbits/sec    2    192 KBytes       
[  4]  34.00-35.00  sec  2.33 MBytes  19542 Kbits/sec    0    245 KBytes       
[  4]  35.00-36.00  sec  2.27 MBytes  19040 Kbits/sec    5    210 KBytes       
[  4]  36.00-37.00  sec  2.39 MBytes  20045 Kbits/sec    5    184 KBytes       
[  4]  37.00-38.00  sec  2.33 MBytes  19543 Kbits/sec    0    245 KBytes       
[  4]  38.00-39.00  sec  2.33 MBytes  19543 Kbits/sec    2    210 KBytes       
[  4]  39.00-40.00  sec  2.33 MBytes  19544 Kbits/sec    5    184 KBytes       
[  4]  40.00-41.00  sec  2.39 MBytes  20042 Kbits/sec    0    245 KBytes       
[  4]  41.00-42.00  sec  2.33 MBytes  19541 Kbits/sec    1    210 KBytes       
[  4]  42.00-43.00  sec  2.33 MBytes  19544 Kbits/sec    1    166 KBytes       
[  4]  43.00-44.00  sec  2.33 MBytes  19541 Kbits/sec    0    218 KBytes       
[  4]  44.00-45.00  sec  2.27 MBytes  19044 Kbits/sec    5    201 KBytes       
[  4]  45.00-46.00  sec  2.39 MBytes  20043 Kbits/sec    0    236 KBytes       
[  4]  46.00-47.00  sec  2.33 MBytes  19545 Kbits/sec    2    218 KBytes       
[  4]  47.00-48.00  sec  2.33 MBytes  19540 Kbits/sec    0    245 KBytes       
[  4]  48.00-49.00  sec  1.91 MBytes  16030 Kbits/sec    5    157 KBytes       
[  4]  49.00-50.00  sec  2.15 MBytes  18046 Kbits/sec    0    210 KBytes       
[  4]  50.00-51.00  sec  2.39 MBytes  20039 Kbits/sec    0    262 KBytes       
[  4]  51.00-52.00  sec  2.33 MBytes  19543 Kbits/sec    2    245 KBytes       
[  4]  52.00-53.00  sec  2.33 MBytes  19545 Kbits/sec    2    210 KBytes       
[  4]  53.00-54.00  sec  2.39 MBytes  20043 Kbits/sec    0    253 KBytes       
[  4]  54.00-55.00  sec  2.33 MBytes  19541 Kbits/sec    2    236 KBytes       
[  4]  55.00-56.00  sec  2.27 MBytes  19045 Kbits/sec    5    201 KBytes       
[  4]  56.00-57.00  sec  2.27 MBytes  19037 Kbits/sec    5    166 KBytes       
[  4]  57.00-58.00  sec  2.45 MBytes  20546 Kbits/sec    0    227 KBytes       
[  4]  58.00-59.00  sec  2.27 MBytes  19043 Kbits/sec    5    184 KBytes       
[  4]  59.00-60.00  sec  2.39 MBytes  20043 Kbits/sec    0    236 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   141 MBytes  19707 Kbits/sec  154             sender
[  4]   0.00-60.00  sec   139 MBytes  19480 Kbits/sec                  receiver

iperf Done.
