iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sun, 27 Aug 2023 03:06:45 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 45750 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   130 MBytes  1089109 Kbits/sec    0    113 KBytes       
[  4]   1.00-2.00   sec  1.25 MBytes  10483 Kbits/sec    0    247 KBytes       
[  4]   2.00-3.00   sec  1.25 MBytes  10486 Kbits/sec    0    307 KBytes       
[  4]   3.00-4.00   sec  1.25 MBytes  10485 Kbits/sec    0    365 KBytes       
[  4]   4.00-5.00   sec  1.25 MBytes  10486 Kbits/sec    0    423 KBytes       
[  4]   5.00-6.00   sec  1.25 MBytes  10486 Kbits/sec    0    481 KBytes       
[  4]   6.00-7.00   sec  1.25 MBytes  10486 Kbits/sec    0    540 KBytes       
[  4]   7.00-8.00   sec  1.25 MBytes  10486 Kbits/sec    0    598 KBytes       
[  4]   8.00-9.00   sec  1.25 MBytes  10486 Kbits/sec    0    656 KBytes       
[  4]   9.00-10.00  sec  1.25 MBytes  10486 Kbits/sec    0    716 KBytes       
[  4]  10.00-11.00  sec  1.25 MBytes  10486 Kbits/sec    0    773 KBytes       
[  4]  11.00-12.00  sec  1.25 MBytes  10486 Kbits/sec    0    877 KBytes       
[  4]  12.00-13.00  sec  1.25 MBytes  10486 Kbits/sec    0   1.03 MBytes       
[  4]  13.00-14.00  sec  1.25 MBytes  10485 Kbits/sec    0   1.24 MBytes       
[  4]  14.00-15.00  sec  1.25 MBytes  10487 Kbits/sec    0   1.46 MBytes       
[  4]  15.00-16.00  sec  1.25 MBytes  10486 Kbits/sec    0   1.75 MBytes       
[  4]  16.00-17.00  sec  1.25 MBytes  10486 Kbits/sec    0   2.03 MBytes       
[  4]  17.00-18.00  sec  1.25 MBytes  10485 Kbits/sec    0   2.38 MBytes       
[  4]  18.00-19.00  sec  1.25 MBytes  10486 Kbits/sec    0   2.76 MBytes       
[  4]  19.00-20.00  sec  1.25 MBytes  10485 Kbits/sec    0   3.14 MBytes       
[  4]  20.00-21.00  sec  1.25 MBytes  10487 Kbits/sec    0   3.53 MBytes       
[  4]  21.00-22.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.06 MBytes       
[  4]  22.00-23.00  sec  1.25 MBytes  10486 Kbits/sec    0   4.62 MBytes       
[  4]  23.00-24.00  sec  1.25 MBytes  10486 Kbits/sec    0   5.20 MBytes       
[  4]  24.00-25.00  sec  1.25 MBytes  10485 Kbits/sec    0   5.77 MBytes       
[  4]  25.00-26.00  sec  1.25 MBytes  10486 Kbits/sec    0   6.14 MBytes       
[  4]  26.00-27.00  sec  1.25 MBytes  10486 Kbits/sec    0   6.90 MBytes       
[  4]  27.00-28.00  sec  1.25 MBytes  10486 Kbits/sec    0   7.47 MBytes       
[  4]  28.00-29.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.05 MBytes       
[  4]  29.00-30.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.62 MBytes       
[  4]  30.00-31.00  sec  1.25 MBytes  10486 Kbits/sec    0   9.18 MBytes       
[  4]  31.00-32.00  sec  1.25 MBytes  10487 Kbits/sec    0   9.75 MBytes       
[  4]  32.00-33.00  sec  1.25 MBytes  10486 Kbits/sec    0   10.3 MBytes       
[  4]  33.00-34.00  sec  1.25 MBytes  10486 Kbits/sec    0   10.9 MBytes       
[  4]  34.00-35.00  sec  1.25 MBytes  10485 Kbits/sec    0   11.5 MBytes       
[  4]  35.00-36.00  sec  1.25 MBytes  10486 Kbits/sec  501   8.10 MBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10487 Kbits/sec  823   8.10 MBytes       
[  4]  37.00-38.00  sec  1.25 MBytes  10485 Kbits/sec  825   8.10 MBytes       
[  4]  38.00-39.00  sec  1.25 MBytes  10486 Kbits/sec  199   8.10 MBytes       
[  4]  39.00-40.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.10 MBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.10 MBytes       
[  4]  41.00-42.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.10 MBytes       
[  4]  42.00-43.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.10 MBytes       
[  4]  43.00-44.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.10 MBytes       
[  4]  44.00-45.00  sec  1.25 MBytes  10485 Kbits/sec    0   8.10 MBytes       
[  4]  45.00-46.00  sec  1.25 MBytes  10486 Kbits/sec    0   8.13 MBytes       
