iperf 3.1.3
Linux h1.u18verifybbr.nyunetworks-pg0.utah.cloudlab.us 4.15.0-169-generic #177-Ubuntu SMP Thu Feb 3 10:50:38 UTC 2022 x86_64
Time: Sat, 26 Aug 2023 16:56:17 GMT
Connecting to host h3, port 5201
      Cookie: h1.u18verifybbr.nyunetworks-pg0.utah
      TCP MSS: 1448 (default)
[  4] local 10.10.1.1 port 43194 connected to 10.10.3.1 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 60 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   131 MBytes  1100231 Kbits/sec  461    700 KBytes       
[  4]   1.00-2.00   sec  6.25 MBytes  52435 Kbits/sec  1486   1.20 MBytes       
[  4]   2.00-3.00   sec  6.25 MBytes  52430 Kbits/sec   98   1.18 MBytes       
[  4]   3.00-4.00   sec  5.00 MBytes  41941 Kbits/sec   84   1.17 MBytes       
[  4]   4.00-5.00   sec  6.25 MBytes  52432 Kbits/sec  193   1.18 MBytes       
[  4]   5.00-6.00   sec  6.25 MBytes  52428 Kbits/sec  118   1.18 MBytes       
[  4]   6.00-7.00   sec  5.00 MBytes  41941 Kbits/sec   62   1.18 MBytes       
[  4]   7.00-8.00   sec  6.25 MBytes  52433 Kbits/sec   62   1.17 MBytes       
[  4]   8.00-9.00   sec  5.00 MBytes  41941 Kbits/sec  139   1.18 MBytes       
[  4]   9.00-10.00  sec  6.25 MBytes  52430 Kbits/sec   85   1.18 MBytes       
[  4]  10.00-11.00  sec  6.25 MBytes  52428 Kbits/sec   70   1.18 MBytes       
[  4]  11.00-12.00  sec  3.75 MBytes  31458 Kbits/sec   76   1.18 MBytes       
[  4]  12.00-13.00  sec  5.00 MBytes  41944 Kbits/sec  122    580 KBytes       
[  4]  13.00-14.00  sec  6.25 MBytes  52426 Kbits/sec   60   1.18 MBytes       
[  4]  14.00-15.00  sec  6.25 MBytes  52432 Kbits/sec  100   1.18 MBytes       
[  4]  15.00-16.00  sec  5.00 MBytes  41939 Kbits/sec   65   1.19 MBytes       
[  4]  16.00-17.00  sec  5.00 MBytes  41941 Kbits/sec  126    585 KBytes       
[  4]  17.00-18.00  sec  6.25 MBytes  52425 Kbits/sec   80   1.19 MBytes       
[  4]  18.00-19.00  sec  6.25 MBytes  52432 Kbits/sec   70   1.18 MBytes       
[  4]  19.00-20.00  sec  6.25 MBytes  52437 Kbits/sec   56   1.19 MBytes       
[  4]  20.00-21.00  sec  5.00 MBytes  41937 Kbits/sec  120    699 KBytes       
[  4]  21.00-22.00  sec  6.25 MBytes  52448 Kbits/sec   63   1.18 MBytes       
[  4]  22.00-23.00  sec  2.50 MBytes  20965 Kbits/sec    0   1.18 MBytes       
[  4]  23.00-24.00  sec  6.25 MBytes  52429 Kbits/sec   57   1.19 MBytes       
[  4]  24.00-25.00  sec  6.25 MBytes  52432 Kbits/sec   84   1.17 MBytes       
[  4]  25.00-26.00  sec  5.00 MBytes  41944 Kbits/sec  198   1.18 MBytes       
[  4]  26.00-27.00  sec  6.25 MBytes  52422 Kbits/sec   65   1.18 MBytes       
[  4]  27.00-28.00  sec  5.00 MBytes  41939 Kbits/sec   60   1.18 MBytes       
[  4]  28.00-29.00  sec  6.25 MBytes  52442 Kbits/sec   60   1.17 MBytes       
[  4]  29.00-30.00  sec  5.00 MBytes  41940 Kbits/sec  167   1.18 MBytes       
[  4]  30.00-31.00  sec  6.25 MBytes  52426 Kbits/sec   60   1.18 MBytes       
[  4]  31.00-32.00  sec  5.00 MBytes  41939 Kbits/sec   60   1.18 MBytes       
[  4]  32.00-33.00  sec  6.25 MBytes  52437 Kbits/sec   55   1.18 MBytes       
[  4]  33.00-34.00  sec  3.75 MBytes  31445 Kbits/sec   73   1.18 MBytes       
[  4]  34.00-35.00  sec  5.00 MBytes  41959 Kbits/sec   59   1.18 MBytes       
[  4]  35.00-36.00  sec  5.00 MBytes  41936 Kbits/sec  126    829 KBytes       
[  4]  36.00-37.00  sec  6.25 MBytes  52437 Kbits/sec   55   1.18 MBytes       
[  4]  37.00-38.00  sec  5.00 MBytes  41938 Kbits/sec   70   1.18 MBytes       
[  4]  38.00-39.00  sec  6.25 MBytes  52437 Kbits/sec   60   1.18 MBytes       
[  4]  39.00-40.00  sec  5.00 MBytes  41940 Kbits/sec  169    950 KBytes       
[  4]  40.00-41.00  sec  6.25 MBytes  52431 Kbits/sec   55   1.18 MBytes       
[  4]  41.00-42.00  sec  5.00 MBytes  41934 Kbits/sec   60   1.18 MBytes       
[  4]  42.00-43.00  sec  6.25 MBytes  52435 Kbits/sec   60   1.18 MBytes       
[  4]  43.00-44.00  sec  5.00 MBytes  41938 Kbits/sec  135    875 KBytes       
[  4]  44.00-45.00  sec  3.75 MBytes  31464 Kbits/sec    0   1.17 MBytes       
[  4]  45.00-46.00  sec  6.25 MBytes  52429 Kbits/sec   60   1.17 MBytes       
[  4]  46.00-47.00  sec  5.00 MBytes  41939 Kbits/sec  120   1.19 MBytes       
[  4]  47.00-48.00  sec  6.25 MBytes  52433 Kbits/sec   55   1.18 MBytes       
[  4]  48.00-49.00  sec  5.00 MBytes  41934 Kbits/sec   60   1.18 MBytes       
[  4]  49.00-50.00  sec  6.25 MBytes  52443 Kbits/sec   68    662 KBytes       
[  4]  50.00-51.00  sec  5.00 MBytes  41941 Kbits/sec  107   1.18 MBytes       
[  4]  51.00-52.00  sec  6.25 MBytes  52428 Kbits/sec   60   1.18 MBytes       
[  4]  52.00-53.00  sec  5.00 MBytes  41948 Kbits/sec   55   1.18 MBytes       
[  4]  53.00-54.00  sec  6.25 MBytes  52437 Kbits/sec   60   1.17 MBytes       
[  4]  54.00-55.00  sec  5.00 MBytes  41933 Kbits/sec  135    819 KBytes       
[  4]  55.00-56.00  sec  3.75 MBytes  31455 Kbits/sec    0   1.18 MBytes       
[  4]  56.00-57.00  sec  5.00 MBytes  41939 Kbits/sec  122    635 KBytes       
[  4]  57.00-58.00  sec  6.25 MBytes  52429 Kbits/sec   90   1.18 MBytes       
[  4]  58.00-59.00  sec  6.25 MBytes  52434 Kbits/sec   65   1.18 MBytes       
[  4]  59.00-60.00  sec  5.00 MBytes  41946 Kbits/sec   70   1.18 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec   456 MBytes  63788 Kbits/sec  6711             sender
[  4]   0.00-60.00  sec   324 MBytes  45357 Kbits/sec                  receiver
CPU Utilization: local/sender 0.6% (0.2%u/0.4%s), remote/receiver 6.2% (1.1%u/5.1%s)

iperf Done.
