Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 45834 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.52 MBytes  21162 Kbits/sec    0    436 KBytes       
[  5]   1.00-2.00   sec  2.37 MBytes  19868 Kbits/sec    0    899 KBytes       
[  5]   2.00-3.00   sec  2.50 MBytes  20972 Kbits/sec    0   1017 KBytes       
[  5]   3.00-4.00   sec  2.50 MBytes  20966 Kbits/sec    0   1.11 MBytes       
[  5]   4.00-5.00   sec  2.50 MBytes  20974 Kbits/sec    0   1.22 MBytes       
[  5]   5.00-6.00   sec  2.50 MBytes  20974 Kbits/sec    0   1.34 MBytes       
[  5]   6.00-7.00   sec  1.25 MBytes  10486 Kbits/sec    0   1.45 MBytes       
[  5]   7.00-8.00   sec  2.50 MBytes  20965 Kbits/sec    0   1.56 MBytes       
[  5]   8.00-9.00   sec  2.50 MBytes  20974 Kbits/sec    0   1.68 MBytes       
[  5]   9.00-10.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.79 MBytes       
[  5]  10.00-11.00  sec  2.50 MBytes  20973 Kbits/sec    0   1.90 MBytes       
[  5]  11.00-12.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.01 MBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.11 MBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  20977 Kbits/sec    0   2.17 MBytes       
[  5]  15.00-16.00  sec  2.50 MBytes  20970 Kbits/sec    0   2.17 MBytes       
[  5]  16.00-17.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.17 MBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  20978 Kbits/sec    0   2.17 MBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  20969 Kbits/sec    0   2.17 MBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  21.00-22.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  22.00-23.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.17 MBytes       
[  5]  23.00-24.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  26.00-27.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  27.00-28.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  28.00-29.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.17 MBytes       
[  5]  29.00-30.00  sec  2.50 MBytes  20980 Kbits/sec    0   2.17 MBytes       
[  5]  30.00-31.00  sec  2.50 MBytes  20971 Kbits/sec    0   2.17 MBytes       
[  5]  31.00-32.00  sec  2.50 MBytes  20969 Kbits/sec    0   2.17 MBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  34.00-35.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.17 MBytes       
[  5]  35.00-36.00  sec  2.50 MBytes  20979 Kbits/sec    0   2.17 MBytes       
[  5]  36.00-37.00  sec  2.50 MBytes  20968 Kbits/sec    0   2.17 MBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  39.00-40.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.17 MBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  41.00-42.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.17 MBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.17 MBytes       
[  5]  43.00-43.87  sec  2.50 MBytes  24240 Kbits/sec    0   2.17 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-43.87  sec   101 MBytes  19342 Kbits/sec    0             sender
[  5]   0.00-43.87  sec  99.9 MBytes  19103 Kbits/sec                  receiver

iperf Done.
