Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 44748 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.21 MBytes  35278 Kbits/sec   66    393 KBytes       
[  5]   1.00-2.00   sec  2.27 MBytes  19039 Kbits/sec   10    472 KBytes       
[  5]   2.00-3.00   sec  2.27 MBytes  19042 Kbits/sec    4    489 KBytes       
[  5]   3.00-4.00   sec  2.27 MBytes  19041 Kbits/sec    8    472 KBytes       
[  5]   4.00-5.00   sec  2.27 MBytes  19038 Kbits/sec    8    245 KBytes       
[  5]   5.00-6.00   sec  2.39 MBytes  20044 Kbits/sec    4    472 KBytes       
[  5]   6.00-7.00   sec  2.27 MBytes  19043 Kbits/sec    6    454 KBytes       
[  5]   7.00-8.00   sec  3.40 MBytes  28571 Kbits/sec    4    489 KBytes       
[  5]   8.00-9.00   sec  2.27 MBytes  19043 Kbits/sec   10    472 KBytes       
[  5]   9.00-10.00  sec  2.39 MBytes  20042 Kbits/sec   10    227 KBytes       
[  5]  10.00-11.00  sec  2.27 MBytes  19041 Kbits/sec    2   35.0 KBytes       
[  5]  11.00-12.00  sec  1.13 MBytes  9518 Kbits/sec    2    472 KBytes       
[  5]  12.00-13.00  sec  2.27 MBytes  19040 Kbits/sec    4    472 KBytes       
[  5]  13.00-14.00  sec  2.39 MBytes  20044 Kbits/sec    8    472 KBytes       
[  5]  14.00-15.00  sec  2.27 MBytes  19042 Kbits/sec    8    472 KBytes       
[  5]  15.00-16.00  sec  2.38 MBytes  20006 Kbits/sec    2    489 KBytes       
[  5]  16.00-17.00  sec  3.41 MBytes  28609 Kbits/sec    6    472 KBytes       
[  5]  17.00-18.00  sec  2.27 MBytes  19041 Kbits/sec    4    262 KBytes       
[  5]  18.00-19.00  sec  2.27 MBytes  19040 Kbits/sec   10    472 KBytes       
[  5]  19.00-20.00  sec  2.33 MBytes  19543 Kbits/sec    8    472 KBytes       
[  5]  20.00-21.00  sec  2.27 MBytes  19042 Kbits/sec    6    489 KBytes       
[  5]  21.00-22.00  sec  1.13 MBytes  9514 Kbits/sec    4    489 KBytes       
[  5]  22.00-23.00  sec  2.27 MBytes  19045 Kbits/sec    6    472 KBytes       
[  5]  23.00-24.00  sec  3.40 MBytes  28578 Kbits/sec    2    489 KBytes       
[  5]  24.00-25.00  sec  2.27 MBytes  19041 Kbits/sec    8    472 KBytes       
[  5]  25.00-26.00  sec  2.27 MBytes  19038 Kbits/sec    4    489 KBytes       
[  5]  26.00-27.00  sec  2.27 MBytes  19041 Kbits/sec    8    472 KBytes       
[  5]  27.00-28.00  sec  2.27 MBytes  19040 Kbits/sec    4    472 KBytes       
[  5]  28.00-29.00  sec  2.27 MBytes  19040 Kbits/sec   10    472 KBytes       
[  5]  29.00-30.00  sec  2.27 MBytes  19043 Kbits/sec    8    227 KBytes       
[  5]  30.00-31.00  sec  2.27 MBytes  19040 Kbits/sec    6    472 KBytes       
[  5]  31.00-32.00  sec  2.27 MBytes  19041 Kbits/sec    4    472 KBytes       
[  5]  32.00-33.00  sec  2.27 MBytes  19045 Kbits/sec    2    489 KBytes       
[  5]  33.00-34.00  sec  2.38 MBytes  20007 Kbits/sec    4    454 KBytes       
[  5]  34.00-35.00  sec  2.27 MBytes  19077 Kbits/sec    2    472 KBytes       
[  5]  35.00-36.00  sec  2.27 MBytes  19042 Kbits/sec    8    472 KBytes       
[  5]  36.00-37.00  sec  2.27 MBytes  19037 Kbits/sec    4    472 KBytes       
[  5]  37.00-38.00  sec  2.38 MBytes  20007 Kbits/sec    8    472 KBytes       
[  5]  38.00-39.00  sec  2.27 MBytes  19079 Kbits/sec    8    472 KBytes       
[  5]  39.00-40.00  sec  2.27 MBytes  19040 Kbits/sec    6    489 KBytes       
[  5]  40.00-41.00  sec  2.27 MBytes  19039 Kbits/sec    8    472 KBytes       
[  5]  41.00-42.00  sec  2.27 MBytes  19043 Kbits/sec    2    472 KBytes       
[  5]  42.00-42.19  sec  1.13 MBytes  50948 Kbits/sec    4   35.0 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-42.19  sec   100 MBytes  19948 Kbits/sec  310             sender
[  5]   0.00-42.27  sec  97.2 MBytes  19291 Kbits/sec                  receiver

iperf Done.
