Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 36316 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.13 MBytes  26266 Kbits/sec   26    140 KBytes       
[  5]   1.00-2.00   sec  2.21 MBytes  18539 Kbits/sec   20    140 KBytes       
[  5]   2.00-3.00   sec  2.45 MBytes  20546 Kbits/sec    4    140 KBytes       
[  5]   3.00-4.00   sec  2.39 MBytes  20044 Kbits/sec    0    140 KBytes       
[  5]   4.00-5.00   sec  2.39 MBytes  20044 Kbits/sec    0    140 KBytes       
[  5]   5.00-6.00   sec  2.39 MBytes  20043 Kbits/sec    0    140 KBytes       
[  5]   6.00-7.00   sec  2.39 MBytes  20044 Kbits/sec    0    140 KBytes       
[  5]   7.00-8.00   sec  2.39 MBytes  20044 Kbits/sec    0    140 KBytes       
[  5]   8.00-9.00   sec  2.39 MBytes  20046 Kbits/sec    0    140 KBytes       
[  5]   9.00-10.00  sec  2.09 MBytes  17536 Kbits/sec    0    140 KBytes       
[  5]  10.00-11.00  sec  2.75 MBytes  23050 Kbits/sec    2    157 KBytes       
[  5]  11.00-12.00  sec  2.15 MBytes  18040 Kbits/sec    2    140 KBytes       
[  5]  12.00-13.00  sec  2.51 MBytes  21044 Kbits/sec    0    140 KBytes       
[  5]  13.00-14.00  sec  2.15 MBytes  18038 Kbits/sec    0    140 KBytes       
[  5]  14.00-15.00  sec  2.51 MBytes  21049 Kbits/sec    0    140 KBytes       
[  5]  15.00-16.00  sec  2.51 MBytes  21044 Kbits/sec    0    140 KBytes       
[  5]  16.00-17.00  sec  2.15 MBytes  18040 Kbits/sec    0    157 KBytes       
[  5]  17.00-18.00  sec  2.51 MBytes  21044 Kbits/sec    0    140 KBytes       
[  5]  18.00-19.00  sec  2.15 MBytes  18038 Kbits/sec    0    157 KBytes       
[  5]  19.00-20.00  sec  2.51 MBytes  21047 Kbits/sec    0    140 KBytes       
[  5]  20.00-21.00  sec  2.51 MBytes  21046 Kbits/sec    0    157 KBytes       
[  5]  21.00-22.00  sec  2.15 MBytes  18038 Kbits/sec    0    140 KBytes       
[  5]  22.00-23.00  sec  2.51 MBytes  21049 Kbits/sec    0    140 KBytes       
[  5]  23.00-24.00  sec  2.15 MBytes  18038 Kbits/sec    0    140 KBytes       
[  5]  24.00-25.00  sec  2.51 MBytes  21045 Kbits/sec    0    157 KBytes       
[  5]  25.00-26.00  sec  2.51 MBytes  21046 Kbits/sec    0    140 KBytes       
[  5]  26.00-27.00  sec  2.15 MBytes  18038 Kbits/sec    0    140 KBytes       
[  5]  27.00-28.00  sec  2.51 MBytes  21047 Kbits/sec    0    157 KBytes       
[  5]  28.00-29.00  sec  2.15 MBytes  18038 Kbits/sec    0    140 KBytes       
[  5]  29.00-30.00  sec  2.51 MBytes  21047 Kbits/sec    0    140 KBytes       
[  5]  30.00-31.00  sec  2.51 MBytes  21046 Kbits/sec    0    140 KBytes       
[  5]  31.00-32.00  sec  2.15 MBytes  18040 Kbits/sec    0    157 KBytes       
[  5]  32.00-33.00  sec  2.51 MBytes  21045 Kbits/sec    0    140 KBytes       
[  5]  33.00-34.00  sec  2.15 MBytes  18040 Kbits/sec    0    140 KBytes       
[  5]  34.00-35.00  sec  2.51 MBytes  21045 Kbits/sec    0    140 KBytes       
[  5]  35.00-36.00  sec  2.51 MBytes  21048 Kbits/sec    0    140 KBytes       
[  5]  36.00-37.00  sec  2.15 MBytes  18036 Kbits/sec    0    140 KBytes       
[  5]  37.00-38.00  sec  2.51 MBytes  21047 Kbits/sec    0    140 KBytes       
[  5]  38.00-39.00  sec  2.15 MBytes  18040 Kbits/sec    0    140 KBytes       
[  5]  39.00-40.00  sec  2.51 MBytes  21047 Kbits/sec    0    140 KBytes       
[  5]  40.00-41.00  sec  2.15 MBytes  18037 Kbits/sec    0    140 KBytes       
[  5]  41.00-41.91  sec  2.51 MBytes  23123 Kbits/sec    0    140 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-41.91  sec   100 MBytes  20032 Kbits/sec   54             sender
[  5]   0.00-41.98  sec  99.2 MBytes  19821 Kbits/sec                  receiver

iperf Done.
