Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 42540 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  2.04 MBytes  17094 Kbits/sec    0    247 KBytes       
[  5]   1.00-2.00   sec  3.11 MBytes  26067 Kbits/sec    0    365 KBytes       
[  5]   2.00-3.00   sec  2.61 MBytes  21891 Kbits/sec    0    481 KBytes       
[  5]   3.00-4.00   sec  3.23 MBytes  27110 Kbits/sec    0    598 KBytes       
[  5]   4.00-5.00   sec  2.49 MBytes  20911 Kbits/sec    0    714 KBytes       
[  5]   5.00-6.00   sec  1.25 MBytes  10481 Kbits/sec    0    831 KBytes       
[  5]   6.00-7.00   sec  2.50 MBytes  20974 Kbits/sec    0    947 KBytes       
[  5]   7.00-8.00   sec  2.50 MBytes  20974 Kbits/sec    0   1.04 MBytes       
[  5]   8.00-9.00   sec  2.50 MBytes  20975 Kbits/sec    0   1.15 MBytes       
[  5]   9.00-10.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.27 MBytes       
[  5]  10.00-11.00  sec  1.25 MBytes  10481 Kbits/sec    0   1.38 MBytes       
[  5]  11.00-12.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.50 MBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.61 MBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.72 MBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  20974 Kbits/sec    0   1.84 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10481 Kbits/sec    0   2.04 MBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  20974 Kbits/sec    0   2.37 MBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  20973 Kbits/sec    0   2.75 MBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  20973 Kbits/sec    0   3.19 MBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  20974 Kbits/sec    0   3.47 MBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  20973 Kbits/sec    0   3.47 MBytes       
[  5]  21.00-22.00  sec  1.25 MBytes  10481 Kbits/sec    0   3.47 MBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  20973 Kbits/sec    0   3.47 MBytes       
[  5]  23.00-24.00  sec  2.50 MBytes  20974 Kbits/sec    0   3.47 MBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  20974 Kbits/sec    0   3.47 MBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  20974 Kbits/sec    0   3.47 MBytes       
[  5]  26.00-27.00  sec  1.25 MBytes  10481 Kbits/sec    0   3.47 MBytes       
[  5]  27.00-28.00  sec  2.50 MBytes  20973 Kbits/sec    0   3.47 MBytes       
[  5]  28.00-29.00  sec  2.50 MBytes  20974 Kbits/sec    0   3.47 MBytes       
