Connecting to host h3, port 5201
[  5] local 10.10.1.1 port 52852 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  3.27 MBytes  27425 Kbits/sec  112    202 KBytes       
[  5]   1.00-2.00   sec  2.42 MBytes  20329 Kbits/sec    0    225 KBytes       
[  5]   2.00-3.00   sec  2.42 MBytes  20331 Kbits/sec    0    239 KBytes       
[  5]   3.00-4.00   sec  2.42 MBytes  20330 Kbits/sec    0    243 KBytes       
[  5]   4.00-5.00   sec  1.62 MBytes  13550 Kbits/sec    0    243 KBytes       
[  5]   5.00-6.00   sec  2.42 MBytes  20333 Kbits/sec    0    243 KBytes       
[  5]   6.00-7.00   sec  2.42 MBytes  20331 Kbits/sec    0    246 KBytes       
[  5]   7.00-8.00   sec  2.42 MBytes  20331 Kbits/sec    0    256 KBytes       
[  5]   8.00-9.00   sec  2.49 MBytes  20853 Kbits/sec    2    189 KBytes       
[  5]   9.00-10.00  sec  1.62 MBytes  13550 Kbits/sec    0    228 KBytes       
[  5]  10.00-11.00  sec  2.42 MBytes  20329 Kbits/sec    0    253 KBytes       
[  5]  11.00-12.00  sec  2.42 MBytes  20333 Kbits/sec    0    266 KBytes       
[  5]  12.00-13.00  sec  2.42 MBytes  20331 Kbits/sec    2    197 KBytes       
[  5]  13.00-14.00  sec  2.42 MBytes  20331 Kbits/sec    0    216 KBytes       
[  5]  14.00-15.00  sec  2.42 MBytes  20330 Kbits/sec    0    226 KBytes       
[  5]  15.00-16.00  sec  1.62 MBytes  13549 Kbits/sec    0    229 KBytes       
[  5]  16.00-17.00  sec  2.42 MBytes  20333 Kbits/sec    0    229 KBytes       
[  5]  17.00-18.00  sec  2.42 MBytes  20331 Kbits/sec    0    229 KBytes       
[  5]  18.00-19.00  sec  2.42 MBytes  20331 Kbits/sec    0    238 KBytes       
[  5]  19.00-20.00  sec  2.42 MBytes  20329 Kbits/sec    0    246 KBytes       
[  5]  20.00-21.00  sec  1.62 MBytes  13551 Kbits/sec    0    267 KBytes       
[  5]  21.00-22.00  sec  2.42 MBytes  20329 Kbits/sec    4    218 KBytes       
[  5]  22.00-23.00  sec  2.42 MBytes  20333 Kbits/sec    0    246 KBytes       
[  5]  23.00-24.00  sec  2.42 MBytes  20331 Kbits/sec    0    263 KBytes       
[  5]  24.00-25.00  sec  2.42 MBytes  20331 Kbits/sec    2    194 KBytes       
[  5]  25.00-26.00  sec  2.42 MBytes  20331 Kbits/sec    0    214 KBytes       
[  5]  26.00-27.00  sec  1.62 MBytes  13550 Kbits/sec    0    226 KBytes       
[  5]  27.00-28.00  sec  2.42 MBytes  20331 Kbits/sec    0    229 KBytes       
[  5]  28.00-29.00  sec  2.42 MBytes  20331 Kbits/sec    0    229 KBytes       
[  5]  29.00-30.00  sec  2.42 MBytes  20329 Kbits/sec    0    229 KBytes       
[  5]  30.00-31.00  sec  2.42 MBytes  20333 Kbits/sec    0    236 KBytes       
[  5]  31.00-32.00  sec  1.62 MBytes  13549 Kbits/sec    0    245 KBytes       
[  5]  32.00-33.00  sec  2.42 MBytes  20331 Kbits/sec    0    264 KBytes       
[  5]  33.00-34.00  sec  2.61 MBytes  21894 Kbits/sec    3    212 KBytes       
[  5]  34.00-35.00  sec  2.42 MBytes  20331 Kbits/sec    0    243 KBytes       
[  5]  35.00-36.00  sec  2.42 MBytes  20332 Kbits/sec    0    262 KBytes       
[  5]  36.00-37.00  sec  1.62 MBytes  13550 Kbits/sec    2    188 KBytes       
[  5]  37.00-38.00  sec  2.42 MBytes  20329 Kbits/sec    0    212 KBytes       
[  5]  38.00-39.00  sec  2.42 MBytes  20333 Kbits/sec    0    225 KBytes       
[  5]  39.00-40.00  sec  2.42 MBytes  20329 Kbits/sec    0    229 KBytes       
[  5]  40.00-41.00  sec  2.42 MBytes  20333 Kbits/sec    0    229 KBytes       
[  5]  41.00-42.00  sec  1.62 MBytes  13549 Kbits/sec    0    229 KBytes       
[  5]  42.00-43.00  sec  2.42 MBytes  20331 Kbits/sec    0    235 KBytes       
[  5]  43.00-44.00  sec  2.42 MBytes  20329 Kbits/sec    0    242 KBytes       
[  5]  44.00-45.00  sec  2.42 MBytes  20331 Kbits/sec    0    260 KBytes       
[  5]  45.00-46.00  sec  2.61 MBytes  21896 Kbits/sec    4    208 KBytes       
[  5]  46.00-47.00  sec  1.62 MBytes  13550 Kbits/sec    0    240 KBytes       
[  5]  47.00-48.00  sec  2.42 MBytes  20331 Kbits/sec    0    260 KBytes       
[  5]  48.00-49.00  sec  2.42 MBytes  20331 Kbits/sec    2    233 KBytes       
[  5]  49.00-50.00  sec  2.42 MBytes  20333 Kbits/sec    0    211 KBytes       
