Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 54372 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  4.12 MBytes  34541 Kbits/sec  166    165 KBytes       
[  4]   1.00-2.00   sec  2.24 MBytes  18765 Kbits/sec    0    184 KBytes       
[  4]   2.00-3.00   sec  2.30 MBytes  19287 Kbits/sec    0    191 KBytes       
[  4]   3.00-4.00   sec  2.30 MBytes  19288 Kbits/sec    0    192 KBytes       
[  4]   4.00-5.00   sec  2.24 MBytes  18766 Kbits/sec    0    198 KBytes       
[  4]   5.00-6.00   sec  2.30 MBytes  19286 Kbits/sec    0    206 KBytes       
[  4]   6.00-7.00   sec  2.30 MBytes  19287 Kbits/sec    4    163 KBytes       
[  4]   7.00-8.00   sec  2.30 MBytes  19289 Kbits/sec    0    188 KBytes       
[  4]   8.00-9.00   sec  2.24 MBytes  18766 Kbits/sec    0    204 KBytes       
[  4]   9.00-10.00  sec  2.30 MBytes  19287 Kbits/sec    0    209 KBytes       
[  4]  10.00-11.00  sec  2.30 MBytes  19288 Kbits/sec    2    174 KBytes       
[  4]  11.00-12.00  sec  2.24 MBytes  18767 Kbits/sec    0    195 KBytes       
[  4]  12.00-13.00  sec  2.30 MBytes  19286 Kbits/sec    0    206 KBytes       
[  4]  13.00-14.00  sec  2.30 MBytes  19287 Kbits/sec    2    154 KBytes       
[  4]  14.00-15.00  sec  2.24 MBytes  18767 Kbits/sec    0    182 KBytes       
[  4]  15.00-16.00  sec  2.30 MBytes  19287 Kbits/sec    0    201 KBytes       
[  4]  16.00-17.00  sec  2.30 MBytes  19286 Kbits/sec    0    209 KBytes       
[  4]  17.00-18.00  sec  2.30 MBytes  19288 Kbits/sec    2    167 KBytes       
[  4]  18.00-19.00  sec  2.24 MBytes  18767 Kbits/sec    0    191 KBytes       
[  4]  19.00-20.00  sec  2.30 MBytes  19286 Kbits/sec    0    205 KBytes       
[  4]  20.00-21.00  sec  2.24 MBytes  18766 Kbits/sec    4    199 KBytes       
[  4]  21.00-22.00  sec  2.30 MBytes  19288 Kbits/sec    0    177 KBytes       
[  4]  22.00-23.00  sec  2.30 MBytes  19286 Kbits/sec    0    197 KBytes       
[  4]  23.00-24.00  sec  2.24 MBytes  18767 Kbits/sec    0    208 KBytes       
[  4]  24.00-25.00  sec  2.36 MBytes  19808 Kbits/sec    2    158 KBytes       
[  4]  25.00-26.00  sec  2.24 MBytes  18768 Kbits/sec    0    185 KBytes       
[  4]  26.00-27.00  sec  2.30 MBytes  19286 Kbits/sec    0    202 KBytes       
[  4]  27.00-28.00  sec  2.24 MBytes  18765 Kbits/sec    0    209 KBytes       
[  4]  28.00-29.00  sec  2.30 MBytes  19287 Kbits/sec    2    171 KBytes       
[  4]  29.00-30.00  sec  2.30 MBytes  19287 Kbits/sec    0    192 KBytes       
[  4]  30.00-31.00  sec  2.24 MBytes  18766 Kbits/sec    0    206 KBytes       
[  4]  31.00-32.00  sec  2.30 MBytes  19287 Kbits/sec    2    148 KBytes       
[  4]  32.00-33.00  sec  2.30 MBytes  19287 Kbits/sec    0    181 KBytes       
[  4]  33.00-34.00  sec  2.30 MBytes  19288 Kbits/sec    0    199 KBytes       
[  4]  34.00-35.00  sec  2.24 MBytes  18767 Kbits/sec    0    208 KBytes       
[  4]  35.00-36.00  sec  2.30 MBytes  19287 Kbits/sec    2    163 KBytes       
[  4]  36.00-37.00  sec  2.30 MBytes  19288 Kbits/sec    0    188 KBytes       
[  4]  37.00-38.00  sec  2.24 MBytes  18766 Kbits/sec    0    204 KBytes       
[  4]  38.00-39.00  sec  2.30 MBytes  19287 Kbits/sec    0    209 KBytes       
[  4]  39.00-40.00  sec  2.30 MBytes  19288 Kbits/sec    2    174 KBytes       
[  4]  40.00-41.00  sec  2.24 MBytes  18766 Kbits/sec    0    195 KBytes       
[  4]  41.00-42.00  sec  2.30 MBytes  19287 Kbits/sec    0    206 KBytes       
[  4]  42.00-43.00  sec  2.30 MBytes  19288 Kbits/sec    2    154 KBytes       
[  4]  43.00-43.36  sec   827 KBytes  19017 Kbits/sec    0    167 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-43.36  sec   101 MBytes  19481 Kbits/sec  192             sender
[  4]   0.00-43.36  sec  98.5 MBytes  19067 Kbits/sec                  receiver

iperf Done.
