Connecting to host h3, port 5201
[  4] local 10.10.1.1 port 40432 connected to 10.10.3.1 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  1.15 MBytes  9659 Kbits/sec    0    120 KBytes       
[  4]   1.00-2.00   sec  6.07 MBytes  50883 Kbits/sec    0   3.44 MBytes       
[  4]   2.00-3.00   sec  14.7 MBytes  123465 Kbits/sec    0   8.82 MBytes       
[  4]   3.00-4.00   sec  14.0 MBytes  117750 Kbits/sec    0   8.82 MBytes       
[  4]   4.00-5.00   sec  14.3 MBytes  119803 Kbits/sec    0   8.82 MBytes       
[  4]   5.00-6.00   sec  14.5 MBytes  121361 Kbits/sec    0   8.82 MBytes       
[  4]   6.00-7.00   sec  14.2 MBytes  118780 Kbits/sec    0   8.82 MBytes       
[  4]   7.00-8.00   sec  14.5 MBytes  121877 Kbits/sec    0   8.82 MBytes       
[  4]   8.00-9.00   sec  14.2 MBytes  118773 Kbits/sec    0   8.82 MBytes       
[  4]   9.00-10.00  sec  14.5 MBytes  121366 Kbits/sec    0   8.82 MBytes       
[  4]  10.00-11.00  sec  14.5 MBytes  121379 Kbits/sec    0   8.82 MBytes       
[  4]  11.00-12.00  sec  14.0 MBytes  117253 Kbits/sec    0   5.66 KBytes       
[  4]  12.00-13.00  sec  6.47 MBytes  54283 Kbits/sec    0   8.82 MBytes       
[  4]  13.00-14.00  sec  14.1 MBytes  118246 Kbits/sec    0   8.82 MBytes       
[  4]  14.00-15.00  sec  14.5 MBytes  121356 Kbits/sec    0   8.82 MBytes       
[  4]  15.00-16.00  sec  14.8 MBytes  124545 Kbits/sec    0   8.82 MBytes       
[  4]  16.00-17.00  sec  14.3 MBytes  120345 Kbits/sec    0   8.82 MBytes       
[  4]  17.00-18.00  sec  14.5 MBytes  121373 Kbits/sec    0   8.82 MBytes       
[  4]  18.00-19.00  sec  14.0 MBytes  117737 Kbits/sec    0   8.82 MBytes       
[  4]  19.00-20.00  sec  14.1 MBytes  118245 Kbits/sec    0   8.82 MBytes       
[  4]  20.00-21.00  sec  14.2 MBytes  118767 Kbits/sec    0   8.82 MBytes       
[  4]  21.00-22.00  sec  14.4 MBytes  120838 Kbits/sec    0   8.82 MBytes       
[  4]  22.00-23.00  sec  14.0 MBytes  117742 Kbits/sec    0   8.82 MBytes       
[  4]  23.00-24.00  sec  14.5 MBytes  121358 Kbits/sec    0   8.82 MBytes       
[  4]  24.00-25.00  sec  14.1 MBytes  118255 Kbits/sec    0   8.82 MBytes       
[  4]  25.00-26.00  sec  14.5 MBytes  121359 Kbits/sec    0   8.82 MBytes       
